speaker,word,time,time_norm,point,f1,f2,f3,pitch,sentence_norm
lm01,göb,7.659932,0.01203903731619338,1,298.61266817033106,1366.0981482536024,2400.5311310297243,204.7422790725127,ul göb l' è bass
lm01,göb,7.659932,0.02407807463238676,2,364.9540769468542,1365.5979296169055,2307.529024545966,216.31846960597952,ul göb l' è bass
lm01,göb,7.659932,0.03611711194858103,3,416.02825149897484,1440.783342528965,2401.325330229493,220.105181825724,ul göb l' è bass
lm01,göb,7.659932,0.048156149264774406,4,445.9117185242952,1532.5013573635345,2390.841558749008,227.60379286040313,ul göb l' è bass
lm01,göb,7.659932,0.060195186580967786,5,470.56642560283075,1608.175324802311,2186.368454996764,237.35144550780353,ul göb l' è bass
lm01,göb,7.659932,0.07223422389716116,6,496.4795113168468,1678.4304639722868,2602.300110437121,248.8982348370977,ul göb l' è bass
lm01,göb,7.659932,0.08427326121335454,7,513.3697682686462,1467.970133198265,2466.520467366789,257.53241664384365,ul göb l' è bass
lm01,göb,7.659932,0.09631229852954792,8,539.0918418352076,1550.3900770802481,2479.8433516378923,268.8460613004087,ul göb l' è bass
lm01,göb,7.659932,0.10835133584574219,9,556.4954449499716,1619.4549097182692,2691.0897050398266,276.90085287370647,ul göb l' è bass
lm01,göb,7.659932,0.12039037316193557,10,572.4172051474245,1611.470250998705,2754.896690812904,284.13293093259784,ul göb l' è bass
lm01,fögh,10.531768025244162,0.012516770752961648,1,483.1642108067615,1682.066692233946,2528.1702642394066,245.7381270277949,ul fögh l' è russ
lm01,fögh,10.531768025244162,0.025033541505925072,2,495.3589548318008,1704.5347603476991,2585.952049680686,249.4254275221252,ul fögh l' è russ
lm01,fögh,10.531768025244162,0.03755031225888672,3,503.74928075434553,1712.4773721425493,2626.3811997017006,253.4739737414845,ul fögh l' è russ
lm01,fögh,10.531768025244162,0.05006708301184837,4,514.7124596461468,1761.595321069673,2651.1401873865275,257.9843817999834,ul fögh l' è russ
lm01,fögh,10.531768025244162,0.06258385376481002,5,525.2071475328438,1691.6463712117431,2666.033394430816,262.58940264626443,ul fögh l' è russ
lm01,fögh,10.531768025244162,0.07510062451777344,6,528.5862423515417,1606.6904866895998,2916.312713180382,265.9109929981928,ul fögh l' è russ
lm01,fögh,10.531768025244162,0.08761739527073509,7,542.8139884790776,1646.0006015712913,3366.976020983154,272.12196106144154,ul fögh l' è russ
lm01,fögh,10.531768025244162,0.10013416602369674,8,561.8206366955338,1693.5234909718301,3288.621643086954,280.6353502059133,ul fögh l' è russ
lm01,fögh,10.531768025244162,0.11265093677665838,9,585.0410461181694,1667.8781717299694,2435.4899594332933,289.23108145150695,ul fögh l' è russ
lm01,fögh,10.531768025244162,0.1251677075296218,10,602.5296856436283,1507.726687237282,2557.6281878618884,295.93486635594957,ul fögh l' è russ
lm01,lagh,14.290631346810152,0.016911972696750155,1,809.5933325647261,1828.2843688468565,2882.63244785965,177.79485334875108,a vighi ul lagh
lm01,lagh,14.290631346810152,0.03382394539350031,2,700.2394775749459,917.5560688563181,1764.0639621550754,166.05417230631144,a vighi ul lagh
lm01,lagh,14.290631346810152,0.05073591809025224,3,958.8463360810844,1296.161437323751,1800.8116367762666,154.58753111399776,a vighi ul lagh
lm01,lagh,14.290631346810152,0.0676478907870024,4,947.4236190376009,1601.4086530298077,3294.8615168756296,149.4775185303818,a vighi ul lagh
lm01,lagh,14.290631346810152,0.08455986348375255,5,924.8395417028732,1537.7302398416239,3046.760905483432,145.34197351704793,a vighi ul lagh
lm01,lagh,14.290631346810152,0.1014718361805027,6,932.1044287336969,1648.7808348595136,3103.742715866012,143.74722933767057,a vighi ul lagh
lm01,lagh,14.290631346810152,0.11838380887725286,7,950.3453781263152,1519.5209817240611,2764.781930073835,142.52343807794918,a vighi ul lagh
lm01,lagh,14.290631346810152,0.13529578157400302,8,881.7626235184802,1590.9561443539903,2785.6611074915913,143.5449366495274,a vighi ul lagh
lm01,lagh,14.290631346810152,0.15220775427075495,9,848.0740791130684,1662.5971022683823,2751.7892694507145,147.97204154816743,a vighi ul lagh
lm01,lagh,14.290631346810152,0.1691197269675051,10,659.7376491189965,1527.2388714461783,1972.075493637457,150.55095797958177,a vighi ul lagh
lm01,sed,16.59539631144629,0.01643422784794879,1,490.76129065095466,1948.8642847696365,3049.86389992071,248.26356917414867,la sed l' è brüta
lm01,sed,16.59539631144629,0.03286845569590113,2,519.9118004982623,2018.0189912907308,3031.317359823938,256.2785530197352,la sed l' è brüta
lm01,sed,16.59539631144629,0.04930268354384992,3,536.6780439427499,2016.1581602920885,3004.4851968886364,262.64486658824046,la sed l' è brüta
lm01,sed,16.59539631144629,0.06573691139179871,4,540.1698868506567,2046.5484193854757,2578.943667431205,271.78438934406074,la sed l' è brüta
lm01,sed,16.59539631144629,0.0821711392397475,5,579.2792255892095,2544.7965165799574,2637.7235917741673,278.1949867999246,la sed l' è brüta
lm01,sed,16.59539631144629,0.09860536708769985,6,585.653154937539,2444.96542182035,2772.6617316483666,280.5206758272752,la sed l' è brüta
lm01,sed,16.59539631144629,0.11503959493564864,7,633.6774389946221,2584.1033613463164,2757.2435660028677,286.4487213914123,la sed l' è brüta
lm01,sed,16.59539631144629,0.13147382278359743,8,610.1652483785989,2425.271732041846,2722.709263174819,293.38285400753335,la sed l' è brüta
lm01,sed,16.59539631144629,0.14790805063154622,9,637.7740080998907,2452.5696380810537,2902.6637988787106,303.091929902314,la sed l' è brüta
lm01,sed,16.59539631144629,0.16434227847949856,10,627.5643404933003,931.5450583164394,2448.1921568565103,306.59651551314477,la sed l' è brüta
lm01,göb,19.951565329035727,0.011561280447018873,1,352.7801107602714,1573.8527371361415,2096.994990504561,205.17706303300906,a vighi ul göb
lm01,göb,19.951565329035727,0.0231225608940413,2,382.9480657610934,1720.5518427156444,2037.7416705103835,206.84867060259634,a vighi ul göb
lm01,göb,19.951565329035727,0.03468384134106017,3,404.02880428567653,1750.7191179692127,2240.4869829073004,209.49167738923327,a vighi ul göb
lm01,göb,19.951565329035727,0.04624512178807905,4,417.11242892064763,1778.0139310345726,2272.404887462962,210.27280396550975,a vighi ul göb
lm01,göb,19.951565329035727,0.05780640223510147,5,420.908214591114,1729.1699113391976,2341.0985650413445,208.1792458646432,a vighi ul göb
lm01,göb,19.951565329035727,0.06936768268212035,6,436.8058331847427,1822.469750485411,2441.041286608231,204.22766731096885,a vighi ul göb
lm01,göb,19.951565329035727,0.08092896312914277,7,462.16668871327676,1803.796792250818,2444.4140927212234,201.29661157157537,a vighi ul göb
lm01,göb,19.951565329035727,0.09249024357616165,8,462.28591028469083,1773.7430109232077,2415.2896857084497,198.54129027507395,a vighi ul göb
lm01,göb,19.951565329035727,0.10405152402318052,9,461.7932761432845,1722.3422767055888,2330.541757472949,191.90720830532666,a vighi ul göb
lm01,göb,19.951565329035727,0.11561280447020295,10,400.01426360060964,1617.7244288225118,2284.484763843874,184.97579005919215,a vighi ul göb
lm01,tüss,22.07743704523325,0.016584199363201435,1,407.6035006048094,990.2773262655684,2875.71916529853,282.23021294407954,la tüss la vegn cul frecc
lm01,tüss,22.07743704523325,0.03316839872639932,2,398.4223948326205,800.6217276717083,2808.0275026421036,275.23320461142885,la tüss la vegn cul frecc
lm01,tüss,22.07743704523325,0.04975259808960075,3,430.81323079745147,700.735640359809,2815.7739422395725,257.851194019807,la tüss la vegn cul frecc
lm01,tüss,22.07743704523325,0.06633679745280219,4,418.89927084910397,677.7249102768949,2869.052875776356,240.21216660634173,la tüss la vegn cul frecc
lm01,tüss,22.07743704523325,0.08292099681600362,5,430.5999359870914,595.0221761713505,2876.950703610346,224.8394410484687,la tüss la vegn cul frecc
lm01,tüss,22.07743704523325,0.0995051961792015,6,438.17321789996356,658.9432880066561,2859.266948683369,225.9744554012197,la tüss la vegn cul frecc
lm01,tüss,22.07743704523325,0.11608939554240294,7,397.11861371009695,703.6918327534083,2875.226096182048,233.06028510783827,la tüss la vegn cul frecc
lm01,tüss,22.07743704523325,0.13267359490560438,8,402.66825702865117,831.1919061215431,2869.7012299490634,238.0260957929439,la tüss la vegn cul frecc
lm01,tüss,22.07743704523325,0.1492577942688058,9,431.58581453167403,885.672387288443,3093.689799008241,247.0713557929473,la tüss la vegn cul frecc
lm01,tüss,22.07743704523325,0.1658419936320037,10,448.2804979960471,996.107931088697,2580.5469778846864,251.53871463654625,la tüss la vegn cul frecc
lm01,set,26.349955,0.010975530375809228,1,551.1962439734776,2130.999027370964,3014.5036150196365,223.02717072500786,a gn' ho set
lm01,set,26.349955,0.021951060751614904,2,624.2225993236982,2225.4860535176613,2981.1300811717115,215.51017307692175,a gn' ho set
lm01,set,26.349955,0.03292659112742413,3,643.2364851753314,2306.5767818831973,2992.0743495126885,207.92433181290994,a gn' ho set
lm01,set,26.349955,0.04390212150323336,4,614.3873808274352,1124.784470801511,2427.1171299490215,200.33936801729453,a gn' ho set
lm01,set,26.349955,0.054877651879039036,5,599.0312909584685,1300.1100120818228,2830.443116027794,192.66328157927853,a gn' ho set
lm01,set,26.349955,0.06585318225484826,6,592.0542473468211,1797.2716844217948,2894.4803657224684,182.79280449302365,a gn' ho set
lm01,set,26.349955,0.07682871263065394,7,557.1641508079413,859.1116689997026,2613.4183841063295,173.26975723584812,a gn' ho set
lm01,set,26.349955,0.08780424300646317,8,662.5918869237147,2299.618870613235,3074.2465110519133,167.32183842757647,a gn' ho set
lm01,set,26.349955,0.0987797733822724,9,597.007712399255,1535.0636611313294,2724.452293067837,158.43178845057955,a gn' ho set
lm01,set,26.349955,0.10975530375807807,10,610.735223758914,1006.6418682660209,2302.9158844113085,150.9512759828216,a gn' ho set
lm01,tus,29.149932,0.02666915115887747,1,344.3249983536184,903.8151620860823,2963.417953687981,302.15503067812244,a vighi ul tus
lm01,tus,29.149932,0.053338302317751385,2,354.2213131053621,858.2776406994983,2921.532228714795,321.73684780416505,a vighi ul tus
lm01,tus,29.149932,0.08000745347662885,3,367.4291366546164,710.1046378004839,2897.303987708059,311.1073587998598,a vighi ul tus
lm01,tus,29.149932,0.10667660463550632,4,340.1149247003983,619.1667733441551,2858.1506994637575,288.3920143333,a vighi ul tus
lm01,tus,29.149932,0.13334575579438024,5,454.3880353392821,562.8046479076257,2639.2932380009042,251.82182714240565,a vighi ul tus
lm01,tus,29.149932,0.1600149069532577,6,376.74303855140596,654.8299196551834,2696.839300131598,208.52057145546664,a vighi ul tus
lm01,tus,29.149932,0.18668405811213162,7,360.56974851898514,625.228860331807,2458.013385692397,178.52631598639036,a vighi ul tus
lm01,tus,29.149932,0.2133532092710091,8,326.8853664413498,728.271985326748,2693.1717367446736,163.74143064822596,a vighi ul tus
lm01,tus,29.149932,0.24002236042988656,9,352.3681043177995,721.6769165038356,2761.4781646284273,177.94050706723957,a vighi ul tus
lm01,tus,29.149932,0.2666915115887605,10,356.2236944596841,884.2151652890346,2713.959741338666,174.76084593143057,a vighi ul tus
lm01,sach,31.479977,0.012618394120192278,1,655.6661304805328,1760.3304485792974,2719.215170072382,268.9412824358073,ul sach l' è pien
lm01,sach,31.479977,0.025236788240381003,2,788.5036792475611,1709.6576549471272,2008.301559678253,240.14398909637663,ul sach l' è pien
lm01,sach,31.479977,0.03785518236057328,3,891.4277402646052,1381.9188749756822,1746.4329076008487,223.52948140661667,ul sach l' è pien
lm01,sach,31.479977,0.05047357648076556,4,914.4213554406824,1315.6676143486025,1682.7497870388593,214.54226528601617,ul sach l' è pien
